object_category,object_type,price_display,price_display_type,price_unit,number_of_rooms,floor,is_furnished,is_temporary,is_selling_furniture,zipcode,city,latitude,longitude,year_built,year_renovated,moving_date_type,reserved,livingspace
5,27,130.0,1,1,0.0,0.0,0.0,0.0,0.0,5600,1004,47.3847528,8.1827504,38.94638748274269,38.94638748274269,0,0.0,0.0
4,4,2325.0,1,1,0.0,0.0,0.0,0.0,0.0,8600,500,47.3978864,8.6008504,6.0,6.0,2,0.0,119.0
0,51,610.0,1,1,1.0,0.0,1.0,0.0,0.0,9008,1678,47.4424303,9.3925098,38.94638748274269,38.94638748274269,1,0.0,17.0
8,47,1350.0,1,1,1.0,5.0,1.0,1.0,0.0,8005,2065,47.3893033425473,8.5132002532077,20.0,20.0,1,0.0,18.0
0,2,2370.0,1,1,2.5,0.0,0.0,0.0,0.0,2000,1190,46.79880259999999,6.8550095,20.0,20.0,2,0.0,145.0
4,41,110.0,1,1,0.0,0.0,0.0,0.0,0.0,8280,913,47.6519832,9.1703866,38.94638748274269,38.94638748274269,2,0.0,0.0
5,39,40.0,1,1,0.0,0.0,0.0,0.0,0.0,4208,1236,47.3935001,7.6145616,38.94638748274269,38.94638748274269,2,0.0,0.0
4,41,95.0,1,1,0.0,0.0,0.0,0.0,0.0,4632,1787,47.3701603,7.9146662,38.94638748274269,38.94638748274269,2,0.0,0.0
5,27,95.0,1,1,0.0,0.0,0.0,0.0,0.0,4226,251,47.4022915,7.5443789,38.94638748274269,38.94638748274269,2,0.0,0.0
5,39,60.0,1,1,0.0,0.0,0.0,0.0,0.0,5018,565,47.3979011,8.0165289,38.94638748274269,38.94638748274269,0,0.0,0.0
5,27,190.0,1,1,0.0,-1.0,0.0,0.0,0.0,1203,675,46.2044031,6.128713,32.0,16.0,2,0.0,0.0
4,37,9970.0,1,1,0.0,5.0,0.0,0.0,0.0,1204,675,46.2026756,6.1504904,34.0,34.0,0,0.0,148.0
5,27,250.0,1,1,0.0,-1.0,0.0,0.0,0.0,1202,675,46.2195974,6.135408,40.0,40.0,2,0.0,0.0
4,37,244.0,0,4,0.0,3.0,0.0,0.0,0.0,8400,1992,47.5005535,8.7259011,44.0,5.0,0,0.0,295.0
4,53,1041.0,1,1,0.0,-1.0,0.0,0.0,0.0,4053,146,47.5449883,7.5941533,30.0,30.0,0,0.0,100.0
5,27,130.0,1,1,0.0,-1.0,0.0,0.0,0.0,5430,1959,47.4643566,8.3177355,18.0,18.0,2,0.0,0.0
4,14,99.0,0,4,0.0,1.0,0.0,0.0,0.0,4133,1370,47.5255482,7.6947658,7.0,7.0,0,0.0,366.0
4,37,339.0,0,4,0.0,2.0,0.0,0.0,0.0,1201,675,46.2138907,6.1457197,37.0,37.0,0,0.0,264.0
5,39,65.0,1,1,0.0,0.0,0.0,0.0,0.0,9100,797,47.3846172,9.2688887,38.94638748274269,38.94638748274269,2,0.0,0.0
0,2,3104.0,1,1,0.0,0.0,0.0,0.0,0.0,8001,2054,47.3698259,8.5317969,38.94638748274269,38.94638748274269,0,0.0,24.0
0,2,4246.0,1,1,1.0,0.0,0.0,0.0,0.0,8001,2054,47.3698259,8.5317969,38.94638748274269,38.94638748274269,0,0.0,36.0
