pk,latitude,longitude,streetAddress
26706,47.4523499,9.6358144,"Parkstrasse 12, 9430 St. Margrethen, Switzerland"
33819,47.3847528,8.1827504,"Martha-Ringierstrasse 5, 5600 Lenzburg, Switzerland"
44676,47.3978864,8.6008504,"Sonnentalstrasse 10, 8600 Dübendorf, Switzerland"
46167,47.4424303,9.3925098,"Waldstrasse 5, 9008 St. Gallen, Switzerland"
51159,47.3893033425473,8.5132002532077,"Gleisbogenbrücke, Pfingstweidstrasse, 8005 Zürich, Switzerland"
56960,46.79880259999999,6.8550095,"Imp. de Grandvau 4, 1484 Les Montets, Switzerland"
58714,47.6519832,9.1703866,"Bahnhofstrasse 25, 8280 Kreuzlingen, Switzerland"
58833,47.3935001,7.6145616,"Kirchweg 21, 4208 Nunningen, Switzerland"
58837,47.3701603,7.9146662,"Rankwog 11, 4632 Trimbach, Switzerland"
62870,47.4022915,7.5443789,"Bodenweg 2, 4226 Breitenbach, Switzerland"
63802,47.3979011,8.0165289,"Nellweg 11, 5018 Erlinsbach, Switzerland"
65383,47.2768683,7.3676177,"Rue Industrielle 16, 2740 Moutier, Switzerland"
65440,46.2044031,6.128713,"Rue de Saint-Jean 30, 1203 Genève, Switzerland"
65470,46.2026756,6.1504904,"Rue du Port 12, 1204 Genève, Switzerland"
65490,46.2195974,6.135408,"Av. Giuseppe Motta 48, 1202 Genève, Switzerland"
65600,47.5005535,8.7259011,"Bankstrasse 8/12, 8400 Winterthur, Switzerland"
65630,47.5449883,7.5941533,"Hochstrasse 37, 4053 Basel, Switzerland"
65792,47.4643566,8.3177355,"Winkelriedstrasse 43, 5430 Wettingen, Switzerland"
66609,47.5255482,7.6947658,"Hohenrainstrasse 24A, 4133 Pratteln, Switzerland"
82289,46.2138907,6.1457197,"Rue de Lausanne 45, 1201 Genève, Switzerland"
83074,46.1547094,8.9658838,"Via Serrai 10, 6592 Sant'Antonino, Switzerland"
85767,47.3846172,9.2688887,"Degersheimerstrasse 29, 9100 Herisau, Switzerland"
86429,47.4819098,8.208558,"Neumarktpl. 2b, 5200 Brugg, Switzerland"
97455,47.3698259,8.5317969,"Gerechtigkeitsgasse 8, 8001 Zürich, Switzerland"
97456,47.3698259,8.5317969,"Gerechtigkeitsgasse 8, 8001 Zürich, Switzerland"
97457,47.3698259,8.5317969,"Gerechtigkeitsgasse 8, 8001 Zürich, Switzerland"
97458,47.3698259,8.5317969,"Gerechtigkeitsgasse 8, 8001 Zürich, Switzerland"
97460,47.3698259,8.5317969,"Gerechtigkeitsgasse 8, 8001 Zürich, Switzerland"
97461,47.3698259,8.5317969,"Gerechtigkeitsgasse 8, 8001 Zürich, Switzerland"
97463,47.3526511,8.5300705,"Bellariastrasse 36, 8002 Zürich, Switzerland"
97464,47.3526511,8.5300705,"Bellariastrasse 36, 8002 Zürich, Switzerland"
97465,47.3526511,8.5300705,"Bellariastrasse 36, 8002 Zürich, Switzerland"
97467,47.3526511,8.5300705,"Bellariastrasse 36, 8002 Zürich, Switzerland"
97468,47.3526511,8.5300705,"Bellariastrasse 36, 8002 Zürich, Switzerland"
97469,47.3526372,8.5300412,"Scheideggstrasse 79, 8038 Zürich, Switzerland"
97473,47.356901,8.5267901,"Waffenplatzstrasse 72, 8002 Zürich, Switzerland"
97474,47.356901,8.5267901,"Waffenplatzstrasse 72, 8002 Zürich, Switzerland"
97475,47.356901,8.5267901,"Waffenplatzstrasse 72, 8002 Zürich, Switzerland"
97476,47.356901,8.5267901,"Waffenplatzstrasse 72, 8002 Zürich, Switzerland"
97477,47.356901,8.5267901,"Waffenplatzstrasse 72, 8002 Zürich, Switzerland"
97478,47.3707232,8.5146785,"Kalkbreitestrasse 129, 8003 Zürich, Switzerland"
97479,47.3707232,8.5146785,"Kalkbreitestrasse 129, 8003 Zürich, Switzerland"
97480,47.3707232,8.5146785,"Kalkbreitestrasse 129, 8003 Zürich, Switzerland"
97481,47.3732697,8.5262025,"Cramerstrasse 8, 8004 Zürich, Switzerland"
97482,47.3732697,8.5262025,"Cramerstrasse 8, 8004 Zürich, Switzerland"
97483,47.3732697,8.5262025,"Cramerstrasse 8, 8004 Zürich, Switzerland"
97484,47.3732697,8.5262025,"Cramerstrasse 8, 8004 Zürich, Switzerland"
97485,47.3732697,8.5262025,"Cramerstrasse 8, 8004 Zürich, Switzerland"
97486,47.3730039,8.5260488,"Cramerstrasse 2, 8004 Zürich, Switzerland"
97487,47.3730039,8.5260488,"Cramerstrasse 2, 8004 Zürich, Switzerland"
97489,47.3730039,8.5260488,"Cramerstrasse 2, 8004 Zürich, Switzerland"
97490,47.3730039,8.5260488,"Cramerstrasse 2, 8004 Zürich, Switzerland"
97491,47.3719465,8.524594,"Freyastrasse 8, 8004 Zürich, Switzerland"
97492,47.3719465,8.524594,"Freyastrasse 8, 8004 Zürich, Switzerland"
97493,47.3719465,8.524594,"Freyastrasse 8, 8004 Zürich, Switzerland"
97494,47.3769355,8.5326062,"Militärstrasse 24, 8004 Zürich, Switzerland"
97495,47.3769355,8.5326062,"Militärstrasse 24, 8004 Zürich, Switzerland"
97496,47.3769355,8.5326062,"Militärstrasse 24, 8004 Zürich, Switzerland"
97497,47.3769355,8.5326062,"Militärstrasse 24, 8004 Zürich, Switzerland"
97498,47.3769355,8.5326062,"Militärstrasse 24, 8004 Zürich, Switzerland"
97499,47.3769355,8.5326062,"Militärstrasse 24, 8004 Zürich, Switzerland"
97501,47.3769355,8.5326062,"Militärstrasse 24, 8004 Zürich, Switzerland"
97507,47.3874151,8.5196931,"Hardstrasse 238, 8005 Zürich, Switzerland"
97508,47.3874151,8.5196931,"Hardstrasse 238, 8005 Zürich, Switzerland"
97510,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97511,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97512,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97513,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97514,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97515,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97516,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97517,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97518,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97519,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97521,47.3622505,8.5222218,"Wolframpl. 1, 8045 Zürich, Switzerland"
97522,47.4140793,8.5452043,"Binzmühlestrasse 46, 8050 Zürich, Switzerland"
97523,47.4140793,8.5452043,"Binzmühlestrasse 46, 8050 Zürich, Switzerland"
97525,47.4140793,8.5452043,"Binzmühlestrasse 46, 8050 Zürich, Switzerland"
97526,47.4140456,8.5450737,"Binzmühlestrasse 48, 8050 Zürich, Switzerland"
97527,47.4140456,8.5450737,"Binzmühlestrasse 48, 8050 Zürich, Switzerland"
97528,47.4140456,8.5450737,"Binzmühlestrasse 48, 8050 Zürich, Switzerland"
97530,47.4140456,8.5450737,"Binzmühlestrasse 48, 8050 Zürich, Switzerland"
97532,47.4140595,8.5447901,"Binzmühlestrasse 54, 8050 Zürich, Switzerland"
97533,47.4140595,8.5447901,"Binzmühlestrasse 54, 8050 Zürich, Switzerland"
97534,47.4140595,8.5447901,"Binzmühlestrasse 54, 8050 Zürich, Switzerland"
97535,47.4140595,8.5447901,"Binzmühlestrasse 54, 8050 Zürich, Switzerland"
97536,47.4140595,8.5447901,"Binzmühlestrasse 54, 8050 Zürich, Switzerland"
97546,46.5215474,6.6386641,"Rue Caroline 23, 1003 Lausanne, Switzerland"
97548,46.5215474,6.6386641,"Rue Caroline 23, 1003 Lausanne, Switzerland"
97549,46.5215474,6.6386641,"Rue Caroline 23, 1003 Lausanne, Switzerland"
97550,46.5171677,6.6230244,"Chem. des Epinettes 11, 1007 Lausanne, Switzerland"
97551,46.5171677,6.6230244,"Chem. des Epinettes 11, 1007 Lausanne, Switzerland"
97552,46.5171677,6.6230244,"Chem. des Epinettes 11, 1007 Lausanne, Switzerland"
97553,46.5171677,6.6230244,"Chem. des Epinettes 11, 1007 Lausanne, Switzerland"
97554,47.1770805,8.5176162,"Baarerstrasse 73, 6300 Zug, Switzerland"
97555,47.1770805,8.5176162,"Baarerstrasse 73, 6300 Zug, Switzerland"
97558,46.513752,6.5460075,"Rte de Vallaire 2, 1025 Saint-Sulpice, Switzerland"
97559,46.513752,6.5460075,"Rte de Vallaire 2, 1025 Saint-Sulpice, Switzerland"
97560,46.513752,6.5460075,"Rte de Vallaire 2, 1025 Saint-Sulpice, Switzerland"
99135,46.4625879,6.8438308,"Rue des Communaux 20, 1800 Vevey, Switzerland"
99136,46.462581603859,6.843831235599,"Rue des Communaux 20, 1800 Vevey, Switzerland"
99139,46.513751609857,6.546001235597,"Rte de Vallaire 2, 1025 Saint-Sulpice, Switzerland"
99140,46.513751609857,6.546001235597,"Rte de Vallaire 2, 1025 Saint-Sulpice, Switzerland"
99251,46.186971607855,6.111451234595,"Rte de Chancy 65, 1213 Petit-Lancy, Switzerland"
99590,46.970191606854,9.683871234591,"Dorfstrasse 171, 7220 Schiers, Switzerland"
104737,46.907721607855,7.416421235599,"Froschweg 23, 3098 Köniz, Switzerland"
104762,46.234171607855,6.139321235596,"Rte de Pregny 19, 1292 Pregny-Chambésy, Switzerland"
105006,47.523931608856,7.659571234595,"Lachmattstrasse 75, 4132 Muttenz, Switzerland"
105710,46.222281604852,6.131581234598,"Chem. du Champ-Baron 10, 1209 Genève, Switzerland"
105799,46.906081603859,7.638931233595,"Gerbergasse 3, 3506 Grosshöchstetten, Switzerland"
106215,46.202671606854,6.176151234592,"Chem. de Grange-Canal 33, 1223 Cologny, Switzerland"
106219,47.193041604851,7.396531234591,"Bettlachstrasse 7, 2540 Grenchen, Switzerland"
106243,47.213571604852,7.789201234591,"Jurastrasse 17, 4900 Langenthal, Switzerland"
106269,47.487311605853,7.612601234595,"Wollmattweg 2, 4143 Dornach, Switzerland"
106678,47.210981605853,7.787111235598,"Marktgasse 42, 4900 Langenthal, Switzerland"
106712,47.394711607855,8.604941234593,"Zipartenstrasse 43, 8600 Dübendorf, Switzerland"
106713,46.522641605853,6.632851234591,"Pl. de la Riponne 4, 1005 Lausanne, Switzerland"
106761,46.810021603859,7.148061234596,"Rte Sainte-Thérèse 2A, 1700 Fribourg, Switzerland"
106763,46.801181600858,7.151451234599,"Les Galeries Du Rex, Bd de Pérolles 7B, 1700 Fribourg, Switzerland"
